Trace,Agile NaiveFP,Agile NoFP,Agile SBFP,ASP NaiveFP,ASP NoFP,ASP SBFP,DP NaiveFP,DP NoFP,DP SBFP,No NaiveFP,No NoFP,No SBFP,SP NaiveFP,SP NoFP,SP SBFP
srv_194,0.400395,0.38991,0.399087,0.400414,0.389948,0.399105,0.400364,0.390638,0.39906,0.400395,0.38991,0.399087,0.399912,0.395919,0.39844
srv_276,0.407022,0.390736,0.405231,0.407022,0.390783,0.405243,0.406744,0.391622,0.405093,0.407022,0.390736,0.405231,0.40539,0.39967,0.404968
srv_495,0.430128,0.417929,0.42793,0.430128,0.417929,0.42793,0.429997,0.418478,0.427171,0.430128,0.417929,0.42793,0.429132,0.425285,0.428704
srv_207,0.412594,0.397656,0.410641,0.412593,0.397666,0.410651,0.412283,0.398515,0.410577,0.412594,0.397656,0.410641,0.411321,0.40591,0.409282
srv_706,0.421797,0.410917,0.420015,0.421797,0.410916,0.42001,0.421616,0.411536,0.420035,0.421797,0.410917,0.420015,0.420864,0.417824,0.421094
srv_41,0.429426,0.416904,0.425988,0.429417,0.416904,0.425988,0.429286,0.417602,0.426027,0.429426,0.416904,0.425988,0.428065,0.424247,0.4275
srv_727,0.428697,0.41608,0.426889,0.428697,0.41608,0.426886,0.428498,0.416622,0.426799,0.428697,0.41608,0.426889,0.427452,0.424016,0.427216
srv_222,0.425864,0.413993,0.423016,0.425852,0.413993,0.423011,0.425641,0.414571,0.422964,0.425864,0.413993,0.423016,0.424364,0.420631,0.423864
srv_s61,0.427533,0.415428,0.424472,0.427529,0.415428,0.424471,0.4274,0.416026,0.424539,0.427533,0.415428,0.424472,0.426062,0.422337,0.425729
srv_641,0.428481,0.416803,0.426405,0.428499,0.41682,0.426423,0.428384,0.417432,0.425593,0.428481,0.416803,0.426405,0.427531,0.423733,0.42689
srv_442,0.424682,0.414186,0.421946,0.424676,0.414186,0.421946,0.42456,0.4147,0.421689,0.424682,0.414186,0.421946,0.4236,0.42043,0.422818
srv_582,0.431524,0.419393,0.429558,0.431524,0.419393,0.429558,0.431366,0.419931,0.428584,0.431524,0.419393,0.429558,0.430653,0.426789,0.430224
srv_702,0.422444,0.410924,0.420368,0.42244,0.410924,0.420368,0.422261,0.411401,0.419932,0.422444,0.410924,0.420368,0.421129,0.417237,0.420675
srv_s10,0.435287,0.422906,0.433266,0.435287,0.422906,0.433266,0.435109,0.423452,0.432196,0.435287,0.422906,0.433266,0.433931,0.430807,0.433812
srv_551,0.42202,0.412461,0.421063,0.42202,0.412461,0.421063,0.421879,0.412904,0.420501,0.42202,0.412461,0.421063,0.421067,0.418949,0.421206
srv_128,0.425396,0.414963,0.424017,0.425405,0.414975,0.424022,0.425261,0.41549,0.423943,0.425396,0.414963,0.424017,0.424572,0.421475,0.424487
srv_575,0.429486,0.420841,0.42852,0.429501,0.420875,0.428543,0.429394,0.421364,0.428312,0.429486,0.420841,0.42852,0.428557,0.42585,0.427732
srv_408,0.411536,0.400614,0.410239,0.411537,0.400628,0.410247,0.411396,0.401197,0.410108,0.411536,0.400614,0.410239,0.410546,0.406726,0.410207
srv_540,0.42181,0.407941,0.41887,0.4218,0.407941,0.418869,0.421658,0.408673,0.417848,0.42181,0.407941,0.41887,0.420375,0.415608,0.419297
srv_743,0.429904,0.423524,0.428894,0.429904,0.423523,0.428951,0.429811,0.423887,0.429178,0.429904,0.423524,0.428894,0.429926,0.427777,0.429775
srv_61,0.43269,0.421109,0.430997,0.43269,0.421109,0.430997,0.4325,0.421609,0.430894,0.43269,0.421109,0.430997,0.431713,0.428388,0.43152
srv_504,0.427961,0.417371,0.425338,0.427971,0.417381,0.425342,0.427826,0.417906,0.425386,0.427961,0.417371,0.425338,0.426949,0.423579,0.426399
srv_364,0.427345,0.415762,0.425591,0.427345,0.415762,0.425591,0.427142,0.416473,0.424691,0.427345,0.415762,0.425591,0.426096,0.423002,0.425923
srv_259,0.425463,0.41391,0.42367,0.425451,0.413912,0.423671,0.425294,0.414546,0.422452,0.425463,0.41391,0.42367,0.42408,0.420455,0.423487
srv_21,0.415897,0.403487,0.414044,0.415904,0.403495,0.414049,0.415692,0.404169,0.414041,0.415897,0.403487,0.414044,0.414922,0.410587,0.414399
srv_s60,0.417595,0.402765,0.415723,0.417596,0.402765,0.415725,0.417392,0.403617,0.414068,0.417595,0.402765,0.415723,0.416225,0.411596,0.415216
srv_426,0.422729,0.408244,0.421278,0.422741,0.408425,0.421225,0.422546,0.409085,0.420968,0.422729,0.408244,0.421278,0.421617,0.417518,0.421423
srv_s0,0.425375,0.412259,0.422306,0.425371,0.412259,0.422305,0.425134,0.412789,0.421679,0.425375,0.412259,0.422306,0.423509,0.419171,0.423007
srv_526,0.422318,0.415587,0.421489,0.422333,0.41561,0.421523,0.422245,0.415987,0.421112,0.422318,0.415587,0.421489,0.422211,0.419819,0.421762
